,LOC,ZC,CITY,state,LAT,LONG,num_calls,city_1
1182,Club/Bar/Restaurant,11249,, NY,40.71837662,-73.96009803,0,BROOKLYN
1183,Club/Bar/Restaurant,11201,, NY,40.69319208,-73.99858642,0,BROOKLYN
1184,Club/Bar/Restaurant,10308,STATEN ISLAND, NY,40.54154749,-74.1466613,0,STATEN ISLAND
1185,Club/Bar/Restaurant,10034,NEW YORK, NY,40.86637626,-73.92826174,0,MANHATTAN
1186,Club/Bar/Restaurant,11234,, NY,40.61678654,-73.93046423,0,BROOKLYN
1187,Club/Bar/Restaurant,11249,, NY,40.71996962,-73.95544697,0,BROOKLYN
1188,Club/Bar/Restaurant,10469,BRONX, NY,40.87910982,-73.84324268,0,BRONX
1189,Club/Bar/Restaurant,11372,JACKSON HEIGHTS, NY,40.75549389,-73.88606747,0,QUEENS
1190,Club/Bar/Restaurant,11103,ASTORIA, NY,40.76001899,-73.9170346,0,QUEENS
1191,Club/Bar/Restaurant,10128,NEW YORK, NY,40.78091958,-73.94905834,0,MANHATTAN
1192,Club/Bar/Restaurant,10040,NEW YORK, NY,40.86422327,-73.9264383,0,MANHATTAN
1193,Club/Bar/Restaurant,10013,NEW YORK, NY,40.72257198,-74.0036221,0,MANHATTAN
1194,Club/Bar/Restaurant,11205,, NY,40.68910459,-73.95506734,0,BROOKLYN
1195,Club/Bar/Restaurant,10028,NEW YORK, NY,40.77760484,-73.95112256,0,MANHATTAN
1196,Club/Bar/Restaurant,10022,NEW YORK, NY,40.75613305,-73.96760482,0,MANHATTAN
1197,Club/Bar/Restaurant,11372,JACKSON HEIGHTS, NY,40.75579024,-73.88325157,0,QUEENS
1198,Club/Bar/Restaurant,10022,NEW YORK, NY,40.75581747,-73.96783598,0,MANHATTAN
1199,Club/Bar/Restaurant,11211,, NY,40.71808545,-73.95228812,0,BROOKLYN
